# cfs = cubic feet per second
#
# STATION = U.S. Geological Survey station identification number
# trimQ2   =   2-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ5   =   5-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ10  =  10-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ25  =  25-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ50  =  50-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ100 = 100-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ200 = 200-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ250 = 250-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ500 = 500-year peak streamflow in cfs by trimmed mean as explained in text
#
STATION,trimQ2,trimQ5,trimQ10,trimQ25,trimQ50,trimQ100,trimQ200,trimQ250,trimQ500
08094000,696,1874,3288,6181,9261,13414,19915,22544,33091
08094800,5594,10328,13838,18600,22422,26347,30495,31881,36347
08095000,18472,36774,51177,74518,95193,117882,143762,152890,184105
08095200,18736,42720,64851,100630,135223,177630,227592,245853,310578
08095220,2335,3921,4602,5246,5611,5918,6184,6263,6492
08095250,305,469,621,831,1037,1288,1587,1697,2082
08095300,11595,20128,25572,32157,36862,41312,45614,46974,51135
08095400,7969,11433,13343,15413,16752,17942,19012,19335,20278
08096500,53296,98105,133211,179388,217315,259827,306570,322648,376246
08096550,111,249,349,484,595,717,837,874,992
08096800,965,1665,1995,2315,2503,2662,2803,2845,2968
08098203,262,487,646,843,1002,1154,1306,1355,1509
08098206,469,890,1206,1637,1993,2360,2747,2877,3297
08098227,97.47,221,317,440,544,660,787,831,968
08098239,190,431,608,822,1009,1200,1379,1437,1617
08098242,954,1902,2555,3368,4007,4610,5210,5403,6001
08098263,197,385,506,643,752,857,954,983,1072
08098281,107,245,347,479,590,695,801,835,946
